6555 5 1619326918816
9690 13 12041425022761
13730 2 670506597249
18130 17 570071162689
19665 13 14573942269344
20022 10 -2066360253119
23622 7 558166203396577
24735 2 280957545916864
27930 18 177403445869321
28082 3 70344288265
28770 2 5177157812089
29070 28 108372825204849
31920 34 146201529616
31950 64 9662733108225
32658 2 -10317044106455
32775 23 40483172970400
33340 1 17318240111056
34230 9 21970231613401
35120 12 3435973829776
36076 2 18071779497168
36190 5 4272200334889
36231 3 149508234937
36762 8 -199025493743
36894 1 58543648267129
37962 31 180254599569
38160 5 372860323344
38577 8 75515455729921
39184 9 37423469679888
39550 21 58009550578225
40005 10 -6406693793631
40107 4 256762277593
40110 3 -958800829271
40426 2 2823361447881
40890 23 1190923429009
41280 6 -369346414016
42366 4 2172911593
42735 15 221443653841
43434 5 78230036167065
43710 9 979309889449
43824 35 6687075350800
43890 5 1271799652489
44082 3 21050701694937
45474 9 5961737009281
45606 5 82880222100745
46110 5 106036767032281
46230 22 39804207013729
47355 1 31054143748384
47550 28 -31895174900975
48034 8 951381910137
48160 1 4664664325504
48670 4 47202752554921
48840 22 1136756103184
49062 19 60412040124097
50082 11 418689685681
50490 33 128113725249
50568 13 1823905098452752
50880 6 165715699264
51120 24 6184149189264
51510 14 -49448248751
51858 10 24793248777921
51870 4 12438878988649
52394 5 1140457783233
53130 41 145404576414001
53238 8 773726598841
53424 14 715692900672
53430 15 1442799757681
53466 16 309071157066193
53958 16 222099520585
54131 3 21660237274657
54645 2 2125819879696
54950 8 271618484103625
55146 6 84162497347321
55578 5 -2411566887935
56034 26 54226712625633
56130 3 1379321248441
56810 10  12458520531201
56985 2 46241379866944
56994 14 10614593171785
57310 10 111681304681
57310 7 364493676361
58781 1 1231920491920
58786 23 137151868033041
58786 7 77191794488761
59254 1 66893381478265
59862 7 9487540174897
60066 4 -18597242278071
60610 13 1985610735769
60630 10 -340191073391
60970 18 -39421193439
61098 10 2689719645457
61230 14 273157189081
62322 2 -4519241403719
62510 8 173770783978969
62580 5  27377636778496
62930 11 19014959254201
63280 22 37126112370064
63342 18 3658311233505
64155 13 4482026962624
64764 13 105148076829552
64870 3 7197027901801
65130 5 -3216896470631
65130 7 16718206714249
65394 2 20157365508057
65538 12 1778986340145
65637 12 86033979989424
65637 17 9559331109936
65790 66 116473777020081
65858 12 779933859249
66010 1 9867360059769
66045 4 1371814606129
