    37 a   1 [0,0,1,-1,0]	1	1	1	5.9869172924639192596	0.30599977383405230229	0.051111408239968840238	1.0000000000000000015
    37 b   1 [0,1,1,-23,-50]	0	3	3	2.177043185808458347	0.72568106193615278235	1	1
    37 b   2 [0,1,1,-3,1]	0	3	1	6.5311295574253750407	0.72568106193615278235	1	1
    37 b   3 [0,1,1,-1873,-31833]	0	1	1	0.72568106193615278234	0.72568106193615278235	1	1
    90 a   1 [1,-1,0,6,0]	0	6	12	2.4599353711739409904	0.81997845705798033017	1	1
    90 a   2 [1,-1,0,-24,18]	0	6	12	2.4599353711739409904	0.81997845705798033017	1	1
    90 a   3 [1,-1,0,-69,-235]	0	2	4	0.81997845705798033012	0.81997845705798033017	1	1
    90 a   4 [1,-1,0,-1149,-14707]	0	2	4	0.8199784570579803302	0.81997845705798033017	1	1
    90 b   1 [1,-1,1,-8,11]	0	6	12	3.9710942585413486373	1.3236980861804495458	1	1
    90 b   2 [1,-1,1,-128,587]	0	6	12	3.971094258541348637	1.3236980861804495458	1	1
    90 b   3 [1,-1,1,52,-53]	0	2	4	1.3236980861804495458	1.3236980861804495458	1	1
    90 b   4 [1,-1,1,-218,-269]	0	2	4	1.3236980861804495458	1.3236980861804495458	1	1
    90 c   1 [1,-1,1,13,-61]	0	4	16	1.3375959945886485058	1.3375959945886485058	1	1
    90 c   2 [1,-1,1,-167,-709]	0	4	16	1.3375959945886485058	1.3375959945886485058	1	1
    90 c   3 [1,-1,1,-122,1721]	0	12	144	1.3375959945886485058	1.3375959945886485058	1	1
    90 c   4 [1,-1,1,-617,5231]	0	2	4	1.3375959945886485058	1.3375959945886485058	1	1
    90 c   5 [1,-1,1,-2597,-50281]	0	2	8	0.66879799729432425286	1.3375959945886485058	1	1
    90 c   6 [1,-1,1,-3002,63929]	0	12	144	1.3375959945886485061	1.3375959945886485058	1	1
    90 c   7 [1,-1,1,-48002,4059929]	0	6	36	1.3375959945886484646	1.3375959945886485058	1	1
    90 c   8 [1,-1,1,-4082,14681]	0	6	72	0.66879799729432425289	1.3375959945886485058	1	1
   389 a   1 [0,1,1,-2,0]	2	1	1	4.9804251217101101506	0.75931650028842677176	0.15246017794314375163	1.000000000000000002
